Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2009-11-18,510.01,510.01,493.99,495.62,495.4,16564707.1,82484.72
2009-11-17,509.54,509.94,497.04,500.81,503.02,12741299.46,64021.12
2009-11-16,506.95,509.99,502.85,507.18,508.03,8763430.26,44395.26
2009-11-13,493.02,502.23,491.63,499.87,499.99,10843254.14,54020.7
2009-11-12,501.28,506.24,491.61,494.91,495.68,16146583.74,80302.46
2009-11-11,487.84,502.56,480.21,501.06,498.69,17734735.22,87249.36
2009-11-10,481.23,495.96,472.98,485.27,484.65,26818288.36,130311.3
2009-11-09,465.9,479.34,462.74,477.71,477.55,13896689.8,65874.17
2009-11-06,455.29,465.87,455.29,461.89,461.77,14828652.04,68501.85
2009-11-05,450.37,459.53,436.65,459.41,457.91,14577232.88,65148.88
2009-11-04,436.41,454.81,432.33,453.75,453.09,19362955.02,86530.37
2009-11-03,452.94,454.06,425.15,427.28,428.99,20764478.34,91714.03
2009-10-30,472.04,480.05,453.4,454.58,455.55,21116182.84,97561.41
2009-10-29,472.03,482.15,467.17,468.5,471.66,14964601.28,71058.5
2009-10-28,468.27,482.02,468.27,480.33,479.85,12505039.44,59668.34
2009-10-27,472.27,474.15,465.9,468.26,469.67,14987713.06,70353.87
2009-10-26,483.59,487.84,472.74,475.57,475.42,13438112.34,64366.81
2009-10-23,506.28,508.19,480.67,483.89,482.97,21364104.7,104827.37
2009-10-22,514.73,514.73,500.34,502.08,503.69,9795245.42,49653.46
2009-10-21,514.02,521.1,511.58,514.02,514.78,10807441.86,55854.4
2009-10-20,529.59,538.63,513.75,514.73,515.33,13402418.78,69729.85
2009-10-17,539.1,539.1,521.64,522.75,524.92,3139176.52,16506.66
2009-10-16,511.9,525.11,509.78,524.84,523.4,14234261.02,74119.94
2009-10-15,515.63,520.98,507.66,508.98,509.19,13863418.28,71193.45
2009-10-14,510.0,515.28,504.77,511.76,512.16,14226179.74,72712.82
2009-10-12,497.11,512.59,497.11,506.96,508.61,19174797.58,96818.89
2009-10-09,499.14,499.83,490.08,491.72,492.36,13485901.04,66657.1
2009-10-08,515.87,524.19,492.42,493.0,497.03,29967140.82,150901.07
2009-10-07,504.03,506.02,488.69,491.72,492.72,13220634.24,66015.76
2009-10-06,506.48,506.48,492.89,499.11,500.42,15649036.12,78137.9
2009-10-05,506.47,509.3,497.41,500.63,501.59,12630015.66,63344.51
2009-10-01,515.85,515.85,505.08,510.71,509.86,12839709.54,65422.72
2009-09-30,512.12,518.9,507.66,515.63,516.26,18008154.12,92884.38
2009-09-29,503.09,511.55,501.8,508.25,509.08,19620664.7,99644.59
2009-09-25,488.76,503.65,486.58,498.99,500.63,15209510.56,75749.08
2009-09-24,490.08,499.46,482.57,491.77,492.64,20307929.24,99454.24
2009-09-23,491.72,498.28,490.08,492.42,492.82,11876004.72,58656.82
2009-09-22,499.15,501.73,489.63,490.66,491.94,11216012.74,55561.66
2009-09-18,487.73,495.47,486.58,492.35,493.02,12533327.02,61691.5
2009-09-17,512.35,515.87,485.62,486.49,489.17,70705907.14,350860.11
2009-09-16,514.93,520.26,507.33,511.88,512.12,9447466.4,48299.11
2009-09-15,502.27,512.12,502.27,511.04,511.39,9198981.06,46858.95
